,O*NET-SOC Code,Title,Probability of Analytical,Predicted Analytical,Description,Idea Generation and Reasoning Abilities,Critical Thinking,Active Learning,Complex Problem Solving,Information and Data Processing,Reasoning and Decision Making,Innovation,Analytical Thinking
16,11-3051.06,Hydroelectric Production Managers,0.79,1,Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.,3.71,4,3.62,3.75,4.32,4.74,3.68,4.19
17,11-3061.00,Purchasing Managers,0.81,1,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.",3.84,4,3.88,3.25,4.21,4.61,3.67,4.29
18,11-3071.00,"Transportation, Storage, and Distribution Managers",0.77,1,"Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers.",3.67,4.08,3.66,3.5,4.3,4.66,3.74,4.07
19,11-3071.04,Supply Chain Managers,0.83,1,"Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory.",3.68,4,3.75,4,4.29,4.99,3.9,4.33
20,11-3111.00,Compensation and Benefits Managers,0.7,1,"Plan, direct, or coordinate compensation and benefits activities of an organization.",3.23,4,3.75,3.25,4.82,4.62,3.62,4.57
21,11-3121.00,Human Resources Managers,0.86,1,"Plan, direct, or coordinate human resources activities and staff of an organization.",3.88,4.12,4,3.75,4.87,5.05,3.58,4.12
22,11-3131.00,Training and Development Managers,0.85,1,"Plan, direct, or coordinate the training and development activities and staff of an organization.",3.96,4,4.25,4,4.39,4.96,3.67,3.89
23,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",0.65,1,"Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities.",3.59,3.87,3.42,3.25,3.79,4.61,3.98,3.98
24,11-9021.00,Construction Managers,0.84,1,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.",3.77,4.12,3.88,4,4.72,5.01,3.3,3.9
25,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",0.68,1,"Plan, direct, or coordinate academic or nonacademic activities of preschools or childcare centers and programs, including before- and after-school care.",3.69,4,3.88,3.5,3.46,4.33,3.97,3.56
26,11-9032.00,"Education Administrators, Kindergarten through Secondary",0.92,1,"Plan, direct, or coordinate the academic, administrative, or auxiliary activities of kindergarten, elementary, or secondary schools.",4.11,4.38,4.12,4.25,4.63,5.06,4.17,4.38
27,11-9033.00,"Education Administrators, Postsecondary",0.88,1,"Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at postsecondary institutions, including universities, colleges, and junior and community colleges.",3.93,4.25,4,4,4.84,5.11,3.97,4.18
28,11-9041.00,Architectural and Engineering Managers,0.92,1,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.",4.07,4.25,3.88,4.25,4.82,5.05,4.09,4.76
29,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,0.88,1,"Define, plan, or execute biofuels/biodiesel research programs that evaluate alternative feedstock and process technologies with near-term commercial potential.",4.02,4.12,3.75,3.88,5.13,5.12,3.7,4.42
30,11-9051.00,Food Service Managers,0.34,0,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages.",3.23,3.75,3.75,3,2.53,2.63,3.59,3.64
31,11-9071.00,Gambling Managers,0.61,1,"Plan, direct, or coordinate gambling operations in a casino. May formulate house rules.",3.52,4,3.62,3.25,4.19,4.27,3.71,3.77
32,11-9081.00,Lodging Managers,0.71,1,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations.",3.45,3.88,3.88,3.25,3.49,4.37,4.09,4.52
33,11-9111.00,Medical and Health Services Managers,0.78,1,"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.",3.73,4,4,3.38,5.11,5.12,3.88,4.19
34,11-9121.00,Natural Sciences Managers,0.95,1,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields.",4.27,4.38,4.75,4.25,4.92,5.18,3.67,4.32
35,11-9121.01,Clinical Research Coordinators,0.69,1,"Plan, direct, or coordinate clinical research projects. Direct the activities of workers engaged in clinical research projects to ensure compliance with protocols and overall clinical objectives. May evaluate and analyze clinical data.",3.63,4,4,3.62,4.25,4.15,3.69,3.95
36,11-9121.02,Water Resource Specialists,0.86,1,"Design or implement programs and strategies related to water resource issues such as supply, quality, and regulatory compliance issues.",3.79,4,3.75,4.12,5.14,5.4,3.59,4.45
37,11-9131.00,Postmasters and Mail Superintendents,0.5,1,"Plan, direct, or coordinate operational, administrative, management, and support services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office.",3.12,3.88,3.12,3.12,3.87,4.33,3.77,4.06
38,11-9141.00,"Property, Real Estate, and Community Association Managers",0.63,1,"Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties. Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way).",3.27,3.88,3.12,3.12,3.82,4.62,3.15,3.9
39,11-9151.00,Social and Community Service Managers,0.83,1,"Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers.",3.77,4.12,3.88,4.12,3.71,4.5,3.89,4.17
40,11-9161.00,Emergency Management Directors,0.95,1,"Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations.",4.14,4.38,4.38,5.25,4.28,5.45,3.76,4.28
41,11-9171.00,Funeral Home Managers,0.26,0,"Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes.",3.05,3.62,3,3,3.42,3.72,3.36,3.33
42,11-9179.01,Fitness and Wellness Coordinators,0.56,1,"Manage or coordinate fitness and wellness programs and services. Manage and train staff of wellness specialists, health educators, or fitness instructors.",3.61,3.88,3.5,3.12,3.56,4.35,3.83,3.46
43,11-9179.02,Spa Managers,0.6,1,"Plan, direct, or coordinate activities of a spa facility. Coordinate programs, schedule and direct staff, and oversee financial activities.",3.5,4,3.88,3.12,4.26,4.29,4.03,3.88
44,11-9199.01,Regulatory Affairs Managers,0.84,1,"Plan, direct, or coordinate production activities of an organization to ensure compliance with regulations and standard operating procedures.",3.64,4.12,3.88,3.38,5.02,5.06,3.18,4.25
45,11-9199.02,Compliance Managers,0.81,1,"Plan, direct, or coordinate activities of an organization to ensure compliance with ethical or regulatory standards.",3.79,4.25,3.88,3.5,5.03,4.84,3.67,4.06
46,11-9199.08,Loss Prevention Managers,0.76,1,"Plan and direct policies, procedures, or systems to prevent the loss of assets. Determine risk exposure or potential liability, and develop risk control measures.",3.57,4,3.75,3.88,4.33,4.58,3.36,3.95
47,11-9199.09,Wind Energy Operations Managers,0.8,1,"Manage wind field operations, including personnel, maintenance activities, financial activities, and planning.",3.66,4,3.62,3.75,4.38,4.92,3.49,4.04
48,11-9199.10,Wind Energy Development Managers,0.8,1,"Lead or manage the development and evaluation of potential wind energy business opportunities, including environmental studies, permitting, and proposals. May also manage construction of projects.",3.66,4.25,4,3.25,4.62,4.86,3.47,3.79
49,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,0.92,1,Plan and direct cleanup and redevelopment of contaminated properties for reuse. Does not include properties sufficiently contaminated to qualify as Superfund sites.,4.18,4.25,3.88,4.12,4.53,4.87,3.5,4.36
50,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",0.63,1,"Represent and promote artists, performers, and athletes in dealings with current or prospective employers. May handle contract negotiation and other business matters for clients.",3.45,3.75,3.5,3.38,2.48,4.61,3.65,3.41
51,13-1021.00,"Buyers and Purchasing Agents, Farm Products",0.56,1,"Purchase farm products either for further processing or resale. Includes tree farm contractors, grain brokers and market operators, grain buyers, and tobacco buyers. May negotiate contracts.",3.18,3.75,3.12,3,4.07,4.3,3.08,4.27
52,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",0.65,1,"Buy merchandise or commodities, other than farm products, for resale to consumers at the wholesale or retail level, including both durable and nondurable goods. Analyze past buying trends, sales records, price, and quality of merchandise to determine value and yield. Select, order, and authorize payment for merchandise according to contractual agreements. May conduct meetings with sales personnel and introduce new products. May negotiate contracts. Includes assistant wholesale and retail buyers of nonfarm products.",3.45,4,3.88,3.12,3.27,3.91,3.58,3.83
53,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",0.76,1,"Purchase machinery, equipment, tools, parts, supplies, or services necessary for the operation of an establishment. Purchase raw or semifinished materials for manufacturing. May negotiate contracts.",3.54,3.88,3.88,3.88,4.34,4.34,3.43,4.39
54,13-1031.00,"Claims Adjusters, Examiners, and Investigators",0.54,1,Review settled claims to determine that payments and settlements are made in accordance with company practices and procedures. Confer with legal counsel on claims requiring litigation. May also settle insurance claims.,3.33,4,3.31,3.06,4.52,3.99,3.68,4.29
55,13-1032.00,"Insurance Appraisers, Auto Damage",0.29,0,Appraise automobile or other vehicle damage to determine repair costs for insurance claim settlement. Prepare insurance forms to indicate repair cost or cost estimates and recommendations. May seek agreement with automotive repair shop on repair costs.,3.19,3.75,3,2.88,4.28,3.79,2.99,3.12
56,13-1041.00,Compliance Officers,0.47,0,"Examine, evaluate, and investigate eligibility for or conformity with laws and regulations governing contract compliance of licenses and permits, and perform other compliance and enforcement inspection and analysis activities not classified elsewhere.",3.34,3.88,3,3,4.25,3.72,3.34,4.23
57,13-1041.01,Environmental Compliance Inspectors,0.85,1,"Inspect and investigate sources of pollution to protect the public and environment and ensure conformance with Federal, State, and local regulations and ordinances.",4.11,4.25,4.12,4.12,4,3.74,2.6,3.8
58,13-1041.03,Equal Opportunity Representatives and Officers,0.9,1,"Monitor and evaluate compliance with equal opportunity laws, guidelines, and policies to ensure that employment practices and contracting arrangements give equal opportunity without regard to race, religion, color, national origin, sex, age, or disability.",3.86,4.5,4,3.62,5.18,4.54,3.13,4.48
59,13-1041.04,Government Property Inspectors and Investigators,0.73,1,Investigate or inspect government property to ensure compliance with contract agreements and government regulations.,3.84,4.12,3.38,3.38,4.24,4.36,3.43,3.81
60,13-1041.06,Coroners,0.82,1,"Direct activities such as autopsies, pathological and toxicological analyses, and inquests relating to the investigation of deaths occurring within a legal jurisdiction to determine cause of death or to fix responsibility for accidental, violent, or unexplained deaths.",3.89,4.12,3.75,3.25,3.79,4.06,3.32,4.32
61,13-1041.07,Regulatory Affairs Specialists,0.84,1,"Coordinate and document internal regulatory processes, such as internal audits, inspections, license renewals, or registrations. May compile and prepare materials for submission to regulatory agencies.",3.75,4.25,3.88,3.88,4.64,4.53,3.25,4
62,13-1041.08,Customs Brokers,0.53,1,Prepare customs documentation and ensure that shipments meet all applicable laws to facilitate the import and export of goods. Determine and track duties and taxes payable and process payments on behalf of client. Sign documents under a power of attorney. Represent clients in meetings with customs officials and apply for duty refunds and tariff reclassifications. Coordinate transportation and storage of imported goods.,3.21,3.88,3.62,3.12,4.14,4,2.95,3.68
63,13-1051.00,Cost Estimators,0.87,1,"Prepare cost estimates for product manufacturing, construction projects, or services to aid management in bidding on or determining price of product or service. May specialize according to particular service performed or type of product manufactured.",3.7,4.25,3.88,3.62,4.57,4.55,3.59,4.73
64,13-1071.00,Human Resources Specialists,0.61,1,"Recruit, screen, interview, or place individuals within an organization. May perform other activities in multiple human resources areas.",3.45,4,3.38,3.12,3.79,4.12,3.75,4.03
65,13-1074.00,Farm Labor Contractors,0.07,0,"Recruit and hire seasonal or temporary agricultural laborers. May transport, house, and provide meals for workers.",2.63,3.25,2.38,2.75,2.8,2.25,2.97,3.31
66,13-1075.00,Labor Relations Specialists,0.81,1,"Resolve disputes between workers and managers, negotiate collective bargaining agreements, or coordinate grievance procedures to handle employee complaints.",3.68,4,3.88,3.62,4.65,4.82,3.9,4.5
67,13-1081.00,Logisticians,0.86,1,"Analyze and coordinate the ongoing logistical functions of a firm or organization. Responsible for the entire life cycle of a product, including acquisition, distribution, internal allocation, delivery, and final disposal of resources.",3.96,4.12,3.5,3.88,4.24,4.79,3.62,4.25
68,13-1081.01,Logistics Engineers,0.91,1,"Design or analyze operational solutions for projects such as transportation optimization, network modeling, process and methods analysis, cost containment, capacity enhancement, routing and shipment optimization, or information management.",4.07,4.25,3.88,4,5.07,5.05,3.7,4.6
69,13-1081.02,Logistics Analysts,0.87,1,"Analyze product delivery or supply chain processes to identify or recommend changes. May manage route activity including invoicing, electronic bills, and shipment tracing.",3.88,4.12,3.75,4,4.67,4.58,3.27,4.43
70,13-1111.00,Management Analysts,0.88,1,"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants.",3.89,4.12,3.75,4,5.44,5.57,4.31,4.81
71,13-1121.00,"Meeting, Convention, and Event Planners",0.61,1,"Coordinate activities of staff, convention personnel, or clients to make arrangements for group meetings, events, or conventions.",3.63,3.88,3.12,3.5,3.76,4.61,4.07,3.81
72,13-1131.00,Fundraisers,0.72,1,"Organize activities to raise funds or otherwise solicit and gather monetary donations or other gifts for an organization. May design and produce promotional materials. May also raise awareness of the organization's work, goals, and financial needs.",3.66,4,3.5,3.25,4.22,4.88,3.38,3.62
73,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",0.78,1,"Conduct programs of compensation and benefits and job analysis for employer. May specialize in specific areas, such as position classification and pension programs.",3.61,4,3.62,3.75,4.64,4.55,3.71,4.62
74,13-1151.00,Training and Development Specialists,0.74,1,Design or conduct work-related training and development programs to improve individual skills or organizational performance. May analyze organizational training needs or evaluate training effectiveness.,3.62,4,3.75,3.12,4.28,5.14,3.97,3.94
75,13-1161.00,Market Research Analysts and Marketing Specialists,0.89,1,"Research conditions in local, regional, national, or online markets. Gather information to determine potential sales of a product or service, or plan a marketing or advertising campaign. May gather information on competitors, prices, sales, and methods of marketing and distribution. May employ search marketing tactics, analyze web metrics, and develop recommendations to increase search engine ranking and visibility to target markets.",3.93,4,4,3.75,4.92,5.12,3.83,4.96
76,13-1161.01,Search Marketing Strategists,0.83,1,"Employ search marketing tactics to increase visibility and engagement with content, products, or services in Internet-enabled devices or interfaces. Examine search query behaviors on general or specialty search engines or other Internet-based content. Analyze research, data, or technology to understand user intent and measure outcomes for ongoing optimization.",3.74,3.88,3.88,4.12,4.13,4.73,4,4.74
77,13-1199.04,Business Continuity Planners,0.92,1,"Develop, maintain, or implement business continuity and disaster recovery strategies and solutions, including risk assessments, business impact analyses, strategy selection, and documentation of business continuity and disaster recovery procedures. Plan, conduct, and debrief regular mock-disaster exercises to test the adequacy of existing plans and strategies, updating procedures and plans regularly. Act as a coordinator for continuity efforts after a disruption event.",4.09,4.5,3.75,4.75,4.37,4.75,3.36,4.09
78,13-1199.05,Sustainability Specialists,0.74,1,"Address organizational sustainability issues, such as waste stream management, green building practices, and green procurement plans.",3.61,4,3.38,3.62,4.6,5,4,4.23
79,13-1199.06,Online Merchants,0.44,0,"Conduct retail activities of businesses operating exclusively online. May perform duties such as preparing business strategies, buying merchandise, managing inventory, implementing marketing activities, fulfilling and shipping online orders, and balancing financial records.",3.23,3.88,3.12,3,3.91,4.09,3.82,3.92
80,13-2011.00,Accountants and Auditors,0.79,1,"Examine, analyze, and interpret accounting records to prepare financial statements, give advice, or audit and evaluate statements prepared by others. Install or advise on systems of recording costs or other financial and budgetary data.",3.8,3.88,3.5,3.56,4.76,4.57,3.07,4.44
81,13-2023.00,Appraisers and Assessors of Real Estate,0.55,1,"Appraise real estate, exclusively, and estimate its fair value. May assess taxes in accordance with prescribed schedules.",3.42,3.88,3.31,3,4.73,4.02,2.8,3.97
82,13-2031.00,Budget Analysts,0.68,1,"Examine budget estimates for completeness, accuracy, and conformance with procedures and regulations. Analyze budgeting and accounting reports.",3.57,3.88,3.38,3.5,4.47,3.86,3.02,4.59
83,13-2041.00,Credit Analysts,0.73,1,Analyze credit data and financial statements of individuals or firms to determine the degree of risk involved in extending credit or lending money. Prepare reports with credit information for use in decisionmaking.,3.61,4,3.62,3,4.47,3.58,2.65,4.89
84,13-2052.00,Personal Financial Advisors,0.83,1,"Advise clients on financial plans using knowledge of tax and investment strategies, securities, insurance, pension plans, and real estate. Duties include assessing clients' assets, liabilities, cash flow, insurance coverage, tax status, and financial objectives. May also buy and sell financial assets for clients.",3.64,4.12,3.25,3.88,4.56,4.8,2.95,4.3
85,13-2053.00,Insurance Underwriters,0.62,1,Review individual applications for insurance to evaluate degree of risk involved and determine acceptance of applications.,3.36,3.88,3.38,3.12,4.38,3.64,2.7,4.57
86,13-2061.00,Financial Examiners,0.93,1,"Enforce or ensure compliance with laws and regulations governing financial and securities institutions and financial and real estate transactions. May examine, verify, or authenticate records.",3.96,4.5,4.12,4,5.17,4.39,2.64,4.7
87,13-2071.00,Credit Counselors,0.67,1,"Advise and educate individuals or organizations on acquiring and managing debt. May provide guidance in determining the best type of loan and explain loan requirements or restrictions. May help develop debt management plans or student financial aid packages. May advise on credit issues, or provide budget, mortgage, bankruptcy, or student financial aid counseling.",3.46,3.88,3.5,3.25,3.21,3.88,3.48,4.32
88,13-2072.00,Loan Officers,0.47,0,"Evaluate, authorize, or recommend approval of commercial, real estate, or credit loans. Advise borrowers on financial status and payment methods. Includes mortgage loan officers and agents, collection analysts, loan servicing officers, loan underwriters, and payday loan officers.",3.21,4,3.12,3.12,4.53,3.71,3.01,3.92
89,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",0.46,0,Determine tax liability or collect taxes from individuals or business firms according to prescribed laws and regulations.,3.27,3.62,3.62,3,4.48,4.16,3.77,4.38
90,13-2082.00,Tax Preparers,0.49,0,Prepare tax returns for individuals or small businesses.,3.14,3.62,3.12,3,4.12,4.12,2.73,4.09
91,13-2099.01,Financial Quantitative Analysts,0.94,1,"Develop quantitative techniques to inform securities investing, equities investing, pricing, or valuation of financial instruments. Develop mathematical or statistical models for risk management, asset optimization, pricing, or relative value analysis.",4.07,4.62,4,4.12,5.25,4.87,3.96,4.91
92,13-2099.04,"Fraud Examiners, Investigators and Analysts",0.79,1,"Obtain evidence, take statements, produce reports, and testify to findings regarding resolution of fraud allegations. May coordinate fraud detection and prevention activities.",3.7,4.12,3.5,3.5,4.99,4.83,3.84,4.5
93,15-1211.00,Computer Systems Analysts,0.9,1,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.",3.96,4.25,4.12,3.88,3.73,4.28,3.72,4.71
94,15-1211.01,Health Informatics Specialists,0.92,1,"Apply knowledge of nursing and informatics to assist in the design, development, and ongoing modification of computerized health care systems. May educate staff and assist in problem solving to promote the implementation of the health care system.",4.11,4.25,4.75,4,4.81,4.97,4.14,4.5
95,15-1212.00,Information Security Analysts,0.82,1,"Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. Assess system vulnerabilities for security risks and propose and implement risk mitigation strategies. May ensure appropriate security controls are in place that will safeguard digital files and vital electronic infrastructure. May respond to computer security breaches and viruses.",3.84,4.12,3.88,3.62,4.72,4.44,3.7,4.44
96,15-1221.00,Computer and Information Research Scientists,0.95,1,"Conduct research into fundamental computer and information science as theorists, designers, or inventors. Develop solutions to problems in the field of computer hardware and software.",4.41,4.25,4.88,4.38,5.33,5.15,3.92,4.61
97,15-1231.00,Computer Network Support Specialists,0.64,1,"Analyze, test, troubleshoot, and evaluate existing network systems, such as local area networks (LAN), wide area networks (WAN), cloud networks, servers, and other data communications networks. Perform network maintenance to ensure networks operate correctly with minimal interruption.",3.55,3.75,3.38,3.25,3.55,4.15,3.88,4.51
98,15-1232.00,Computer User Support Specialists,0.71,1,"Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, via telephone, or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems.",3.36,4,3.25,3.25,3.21,4.06,3.39,4.38
99,15-1241.00,Computer Network Architects,0.9,1,"Design and implement computer and information networks, such as local area networks (LAN), wide area networks (WAN), intranets, extranets, and other data communications networks. Perform network modeling, analysis, and planning, including analysis of capacity needs for network infrastructures. May also design network and computer security measures. May research and recommend network and data communications hardware and software.",3.93,4.25,3.62,4.12,4.84,5.05,3.86,4.59
100,15-1241.01,Telecommunications Engineering Specialists,0.72,1,"Design or configure wired, wireless, and satellite communications systems for voice, video, and data services. Supervise installation, service, and maintenance.",3.52,3.75,3.75,3.38,4.31,4.69,3.48,4.33
101,15-1242.00,Database Administrators,0.87,1,"Administer, test, and implement computer databases, applying knowledge of database management systems. Coordinate changes to computer databases. Identify, investigate, and resolve database performance issues, database capacity, and database scalability. May plan, coordinate, and implement security measures to safeguard computer databases.",3.91,4.12,3.88,4,4.38,4.54,3.76,4.56
102,15-1243.00,Database Architects,0.9,1,"Design strategies for enterprise databases, data warehouse systems, and multidimensional networks. Set standards for database operations, programming, query processes, and security. Model, design, and construct large relational databases or data warehouses. Create and optimize data models for warehouse infrastructure and workflow. Integrate new systems with existing warehouse structure and refine system performance and functionality.",3.82,4.25,3.62,4,5.03,5.13,3.92,4.88
103,15-1243.01,Data Warehousing Specialists,0.73,1,"Design, model, or implement corporate data warehousing activities. Program and configure warehouses of database information and provide support to warehouse users.",3.63,3.88,3.25,3.5,4.71,4.68,3.96,4.91
104,15-1244.00,Network and Computer Systems Administrators,0.82,1,"Install, configure, and maintain an organization's local area network (LAN), wide area network (WAN), data communications network, operating systems, and physical and virtual servers. Perform system monitoring and verify the integrity and availability of hardware, network, and server resources and systems. Review system and application logs and verify completion of scheduled jobs, including system backups. Analyze network and server resource consumption and control user access. Install and upgrade software and maintain software licenses. May assist in network modeling, analysis, planning, and coordination between network and data communications hardware and software.",3.86,3.88,3.75,4,3.75,4.54,3.95,4.5
105,15-1251.00,Computer Programmers,0.71,1,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.",3.61,3.88,3.25,3.88,4.78,4.62,4,4.74
106,15-1253.00,Software Quality Assurance Analysts and Testers,0.71,1,"Develop and execute software tests to identify software problems and their causes. Test system modifications to prepare for implementation. Document software and application defects using a bug tracking system and report defects to software or web developers. Create and maintain databases of known defects. May participate in software design reviews to provide input on functional requirements, operational characteristics, product designs, and schedules.",3.66,3.88,3,3.25,4.58,4.66,3.5,4.65
107,15-1254.00,Web Developers,0.75,1,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.",3.66,3.88,3.62,3.62,4.18,4.88,3.92,4.17
108,15-1255.01,Video Game Designers,0.76,1,"Design core features of video games. Specify innovative game and role-play mechanics, story lines, and character biographies. Create and maintain design documentation. Guide and collaborate with production staff to produce games as designed.",3.8,3.88,3.62,3.62,4.04,5.03,4.67,4.48
