,O*NET-SOC Code,Title,Analytical,Description,Idea Generation and Reasoning Abilities,Critical Thinking,Active Learning,Complex Problem Solving,Information and Data Processing,Reasoning and Decision Making,Innovation,Analytical Thinking
16,19-3034.00,School Psychologists,NaN,"Diagnose and implement individual or schoolwide interventions or strategies to address educational, behavioral, or developmental issues that adversely impact educational functioning in a school. May address student learning and behavioral problems and counsel students or families. May design and implement performance plans, and evaluate performance. May consult with other school-based personnel.",3.79,4.12,3.88,4.0,2.97,3.72,3.51,4.34
17,31-1121.00,Home Health Aides,NaN,"Monitor the health status of an individual with disabilities or illness, and address their health-related needs, such as changing bandages, dressing wounds, or administering medication. Work is performed under the direction of offsite or intermittent onsite licensed nursing staff. Provide assistance with routine healthcare tasks or activities of daily living, such as feeding, bathing, toileting, or ambulation. May also help with tasks such as preparing meals, doing light housekeeping, and doing laundry depending on the patient's abilities.",3.05,3.25,3.0,3.0,3.21,3.44,3.29,3.33
18,31-9097.00,Phlebotomists,NaN,"Draw blood for tests, transfusions, donations, or research. May explain the procedure to patients and assist in the recovery of patients with adverse reactions.",2.87,3.25,3.0,2.38,4.41,4.25,3.59,3.91
19,17-3029.01,Non-Destructive Testing Specialists,NaN,"Test the safety of structures, vehicles, or vessels using x-ray, ultrasound, fiber optic or related equipment.",3.48,3.5,3.5,3.12,4.33,3.74,3.0,3.8
20,13-1111.00,Management Analysts,NaN,"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants.",3.89,4.12,3.75,4.0,5.44,5.57,4.31,4.81
21,33-3052.00,Transit and Railroad Police,NaN,"Protect and police railroad and transit property, employees, or passengers.",3.39,3.38,3.0,3.0,3.05,3.73,3.32,4.03
22,33-9031.00,Gambling Surveillance Officers and Gambling Investigators,NaN,"Observe gambling operation for irregular activities such as cheating or theft by either employees or patrons. Investigate potential threats to gambling assets such as money, chips, and gambling equipment. Act as oversight and security agent for management and customers.",3.05,3.75,3.12,2.5,4.63,4.14,2.81,3.8
23,25-9021.00,Farm and Home Management Educators,NaN,"Instruct and advise individuals and families engaged in agriculture, agricultural-related processes, or home management activities. Demonstrate procedures and apply research findings to advance agricultural and home management activities. May develop educational outreach programs. May instruct on either agricultural issues such as agricultural processes and techniques, pest management, and food safety, or on home management issues such as budgeting, nutrition, and child development.",4.09,4.12,4.5,3.88,4.13,5.13,3.9,4.14
24,13-1075.00,Labor Relations Specialists,NaN,"Resolve disputes between workers and managers, negotiate collective bargaining agreements, or coordinate grievance procedures to handle employee complaints.",3.68,4.0,3.88,3.62,4.65,4.82,3.9,4.5
25,45-2021.00,Animal Breeders,NaN,"Select and breed animals according to their genealogy, characteristics, and offspring. May require knowledge of artificial insemination techniques and equipment use. May involve keeping records on heats, birth intervals, or pedigree.",2.68,3.25,2.75,2.88,2.41,2.69,3.14,3.12
26,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",NaN,"Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities.",3.59,3.87,3.42,3.25,3.79,4.61,3.98,3.98
27,11-9051.00,Food Service Managers,NaN,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages.",3.23,3.75,3.75,3.0,2.53,2.63,3.59,3.64
28,41-9031.00,Sales Engineers,NaN,"Sell business goods or services, the selling of which requires a technical background equivalent to a baccalaureate degree in engineering.",3.93,4.0,3.88,3.75,4.54,4.64,3.73,4.26
29,13-1081.00,Logisticians,NaN,"Analyze and coordinate the ongoing logistical functions of a firm or organization. Responsible for the entire life cycle of a product, including acquisition, distribution, internal allocation, delivery, and final disposal of resources.",3.96,4.12,3.5,3.88,4.24,4.79,3.62,4.25
30,51-2023.00,Electromechanical Equipment Assemblers,NaN,"Assemble or modify electromechanical equipment or devices, such as servomechanisms, gyros, dynamometers, magnetic drums, tape drives, brakes, control linkage, actuators, and appliances.",2.86,2.88,2.12,2.12,3.23,3.06,3.21,3.57
31,27-2021.00,Athletes and Sports Competitors,NaN,Compete in athletic events.,2.95,3.12,3.0,2.88,4.29,4.65,3.09,3.27
32,27-2041.00,Music Directors and Composers,NaN,"Conduct, direct, plan, and lead instrumental or vocal performances by musical artists or groups, such as orchestras, bands, choirs, and glee clubs; or create original works of music.",3.53,3.56,3.06,3.25,3.53,4.75,4.46,3.89
33,51-9031.00,"Cutters and Trimmers, Hand",NaN,"Use hand tools or hand-held power tools to cut and trim a variety of manufactured items, such as carpet, fabric, stone, glass, or rubber.",2.5,2.12,2.0,2.12,2.48,2.37,2.16,2.35
34,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",NaN,"Set up, operate, or tend welding, soldering, or brazing machines or robots that weld, braze, solder, or heat treat metal products, components, or assemblies. Includes workers who operate laser cutters or laser-beam machines.",2.61,3.0,2.0,2.5,3.04,3.2,3.07,2.68
35,21-1093.00,Social and Human Service Assistants,NaN,"Assist other social and human service providers in providing client services in a wide variety of fields, such as psychology, rehabilitation, or social work, including support for families. May assist clients in identifying and obtaining available benefits and social and community services. May assist social workers with developing, organizing, and conducting programs to prevent and resolve problems relevant to substance abuse, human relationships, rehabilitation, or dependent care.",3.45,4.0,3.25,3.12,3.11,3.83,3.6,3.8
36,25-2059.01,Adapted Physical Education Specialists,NaN,"Provide individualized physical education instruction or services to children, youth, or adults with exceptional physical needs due to gross motor developmental delays or other impairments.",3.59,3.88,3.88,3.38,3.61,4.36,4.29,3.86
37,13-1161.01,Search Marketing Strategists,NaN,"Employ search marketing tactics to increase visibility and engagement with content, products, or services in Internet-enabled devices or interfaces. Examine search query behaviors on general or specialty search engines or other Internet-based content. Analyze research, data, or technology to understand user intent and measure outcomes for ongoing optimization.",3.74,3.88,3.88,4.12,4.13,4.73,4.0,4.74
38,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",NaN,"Conduct hearings to recommend or make decisions on claims concerning government programs or other government-related matters. Determine liability, sanctions, or penalties, or recommend the acceptance or rejection of claims or settlements.",3.82,5.12,4.12,4.0,4.71,4.06,3.08,4.52
39,49-9095.00,Manufactured Building and Mobile Home Installers,NaN,Move or install mobile homes or prefabricated buildings.,3.2,3.25,3.0,3.25,4.4,5.33,4.12,3.87
40,47-2021.00,Brickmasons and Blockmasons,NaN,"Lay and bind building materials, such as brick, structural tile, concrete block, cinder block, glass block, and terra-cotta block, with mortar and other substances, to construct or repair walls, partitions, arches, sewers, and other structures.",2.69,3.0,2.12,2.25,3.67,4.31,3.57,3.61
41,43-6013.00,Medical Secretaries and Administrative Assistants,NaN,"Perform secretarial duties using specific knowledge of medical terminology and hospital, clinic, or laboratory procedures. Duties may include scheduling appointments, billing patients, and compiling and recording medical charts, reports, and correspondence.",2.7,3.0,2.25,2.75,3.39,3.46,2.85,3.46
42,53-6031.00,Automotive and Watercraft Service Attendants,NaN,"Service automobiles, buses, trucks, boats, and other automotive or marine vehicles with fuel, lubricants, and accessories. Collect payment for services and supplies. May lubricate vehicle, change motor oil, refill antifreeze, or replace lights or other accessories, such as windshield wiper blades or fan belts. May repair or replace tires.",2.32,2.88,2.0,2.25,3.24,3.3,3.22,4.21
43,13-1131.00,Fundraisers,NaN,"Organize activities to raise funds or otherwise solicit and gather monetary donations or other gifts for an organization. May design and produce promotional materials. May also raise awareness of the organization's work, goals, and financial needs.",3.66,4.0,3.5,3.25,4.22,4.88,3.38,3.62
44,41-2012.00,Gambling Change Persons and Booth Cashiers,NaN,"Exchange coins, tokens, and chips for patrons' money. May issue payoffs and obtain customer's signature on receipt. May operate a booth in the slot machine area and furnish change persons with money bank at the start of the shift, or count and audit money in drawers.",2.68,2.88,2.12,2.25,3.44,2.98,2.31,3.74
45,43-4151.00,Order Clerks,NaN,"Receive and process incoming orders for materials, merchandise, classified ads, or services such as repairs, installations, or rental of facilities. Generally receives orders via mail, phone, fax, or other electronic means. Duties include informing customers of receipt, prices, shipping dates, and delays; preparing contracts; and handling complaints.",2.79,3.62,3.0,2.62,4.13,3.87,2.99,3.13
46,25-2023.00,"Career/Technical Education Teachers, Middle School",NaN,"Teach occupational, vocational, career, or technical subjects to students at the middle, intermediate, or junior high school level.",3.48,3.88,3.5,3.0,3.65,4.22,4.08,3.9
47,47-2231.00,Solar Photovoltaic Installers,NaN,"Assemble, install, or maintain solar photovoltaic (PV) systems on roofs or other structures in compliance with site assessment and schematics. May include measuring, cutting, assembling, and bolting structural framing and solar modules. May perform minor electrical work such as current checks.",3.03,3.5,3.0,3.12,3.12,3.38,3.22,3.31
48,41-2011.00,Cashiers,NaN,"Receive and disburse money in establishments other than financial institutions. May use electronic scanners, cash registers, or related equipment. May process credit or debit card transactions and validate checks.",2.63,2.62,2.25,2.12,2.5,2.54,3.47,3.48
49,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",NaN,"Promote worksite or product safety by applying knowledge of industrial processes, mechanics, chemistry, psychology, and industrial health and safety laws. Includes industrial product safety engineers.",4.07,4.19,3.88,3.81,4.69,4.65,3.58,4.17
50,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",NaN,"Mold, shape, form, cast, or carve products such as food products, figurines, tile, pipes, and candles consisting of clay, glass, plaster, concrete, stone, or combinations of materials.",2.55,2.88,2.5,2.88,3.05,2.83,2.87,2.81
51,51-8092.00,Gas Plant Operators,NaN,Distribute or process gas for utility companies and others by controlling compressors to maintain specified pressures on main pipelines.,3.13,3.38,3.12,3.12,2.95,3.35,3.7,4.28
52,49-2097.00,Audiovisual Equipment Installers and Repairers,NaN,"Install, repair, or adjust audio or television receivers, stereo systems, camcorders, video systems, or other electronic entertainment equipment in homes or other venues. May perform routine maintenance.",3.02,3.62,3.12,3.25,3.04,3.65,3.47,3.58
53,15-1221.00,Computer and Information Research Scientists,NaN,"Conduct research into fundamental computer and information science as theorists, designers, or inventors. Develop solutions to problems in the field of computer hardware and software.",4.41,4.25,4.88,4.38,5.33,5.15,3.92,4.61
54,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",NaN,"Help painters, paperhangers, plasterers, or stucco masons by performing duties requiring less skill. Duties include using, supplying, or holding materials or tools, and cleaning work area and equipment.",2.13,2.25,2.0,2.12,2.15,2.45,2.96,2.81
55,27-2032.00,Choreographers,NaN,Create new dance routines. Rehearse performance of routines. May direct and stage presentations.,3.59,3.5,3.25,3.12,3.25,5.36,4.71,4.0
56,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,NaN,Directly supervise and coordinate activities of workers engaged in firefighting and fire prevention and control.,3.9,4.12,3.88,4.0,4.14,5.15,3.6,4.12
57,27-1021.00,Commercial and Industrial Designers,NaN,"Design and develop manufactured products, such as cars, home appliances, and children's toys. Combine artistic talent with research on product use, marketing, and materials to create the most functional and appealing product design.",4.07,4.0,4.0,3.88,3.32,3.75,3.94,4.16
58,25-1053.00,"Environmental Science Teachers, Postsecondary",NaN,Teach courses in environmental science. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,3.66,4.25,4.25,3.88,4.61,4.83,4.29,4.59
59,15-2051.02,Clinical Data Managers,NaN,"Apply knowledge of health care and database management to analyze clinical data, and to identify and report trends.",3.82,4.25,4.0,3.62,4.86,4.62,3.15,4.1
60,25-3021.00,Self-Enrichment Teachers,NaN,"Teach or instruct individuals or groups for the primary purpose of self-enrichment or recreation, rather than for an occupational objective, educational attainment, competition, or fitness.",3.1,3.12,3.12,2.88,2.56,3.68,3.85,3.77
61,13-2061.00,Financial Examiners,NaN,"Enforce or ensure compliance with laws and regulations governing financial and securities institutions and financial and real estate transactions. May examine, verify, or authenticate records.",3.96,4.5,4.12,4.0,5.17,4.39,2.64,4.7
62,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",NaN,"Install or repair heating, central air conditioning, HVAC, or refrigeration systems, including oil burners, hot-air furnaces, and heating stoves.",3.21,3.5,3.06,3.06,3.84,4.29,3.95,4.31
63,11-9151.00,Social and Community Service Managers,NaN,"Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers.",3.77,4.12,3.88,4.12,3.71,4.5,3.89,4.17
64,33-2011.00,Firefighters,NaN,"Control and extinguish fires or respond to emergency situations where life, property, or the environment is at risk. Duties may include fire prevention, emergency medical service, hazardous material response, search and rescue, and disaster assistance.",3.39,3.75,3.0,2.94,3.88,3.96,3.69,3.94
65,19-1042.00,"Medical Scientists, Except Epidemiologists",NaN,"Conduct research dealing with the understanding of human diseases and the improvement of human health. Engage in clinical investigation, research and development, or other related activities.",4.52,4.75,5.0,4.62,4.52,5.21,4.44,4.53
66,47-2152.04,Solar Thermal Installers and Technicians,NaN,"Install or repair solar energy systems designed to collect, store, and circulate solar-heated water for residential, commercial or industrial use.",3.12,3.5,3.12,3.0,3.66,3.5,4.07,4.4
67,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",NaN,"Compile and keep personnel records. Record data for each employee, such as address, weekly earnings, absences, amount of sales or production, supervisory reports, and date of and reason for termination. May prepare reports for employment records, file employment records, or search employee files and furnish information to authorized persons.",2.89,3.62,3.12,2.75,4.4,4.25,3.1,3.38
68,19-4099.03,Remote Sensing Technicians,NaN,"Apply remote sensing technologies to assist scientists in areas such as natural resources, urban planning, or homeland security. May prepare flight plans or sensor configurations for flight trips.",3.75,3.88,3.5,3.38,4.34,4.38,3.74,4.22
69,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",NaN,"Provide therapy to patients with visual impairments to improve their functioning in daily life activities. May train patients in activities such as computer use, communication skills, or home management skills.",3.68,3.88,3.88,3.5,3.39,4.15,3.61,3.7
70,51-6011.00,Laundry and Dry-Cleaning Workers,NaN,"Operate or tend washing or dry-cleaning machines to wash or dry-clean industrial or household articles, such as cloth garments, suede, leather, furs, blankets, draperies, linens, rugs, and carpets. Includes spotters and dyers of these articles.",2.41,2.5,2.12,2.25,1.92,2.14,2.9,2.9
71,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",NaN,Create original artwork using any of a wide variety of media and techniques.,3.43,3.25,3.38,2.88,2.25,3.63,4.0,3.61
72,19-3093.00,Historians,NaN,"Research, analyze, record, and interpret the past as recorded in sources, such as government and institutional records, newspapers and other periodicals, photographs, interviews, films, electronic media, and unpublished manuscripts, such as personal diaries and letters.",3.46,4.12,3.75,3.12,3.93,4.31,3.49,3.53
73,33-3021.02,Police Identification and Records Officers,NaN,"Collect evidence at crime scene, classify and identify fingerprints, and photograph evidence for use in criminal and civil cases.",3.55,4.0,3.25,3.12,4.42,4.05,3.61,4.17
74,35-3041.00,"Food Servers, Nonrestaurant",NaN,"Serve food to individuals outside of a restaurant environment, such as in hotel rooms, hospital rooms, residential care facilities, or cars.",2.14,2.38,2.12,2.12,3.11,2.52,3.63,3.77
75,17-2072.01,Radio Frequency Identification Device Specialists,NaN,Design and implement radio frequency identification device (RFID) systems used to track shipments or goods.,3.62,3.88,3.5,3.62,4.38,5.23,4.14,4.39
76,19-2041.00,"Environmental Scientists and Specialists, Including Health",NaN,"Conduct research or perform investigation for the purpose of identifying, abating, or eliminating sources of pollutants or hazards that affect either the environment or public health. Using knowledge of various scientific disciplines, may collect, synthesize, study, report, and recommend action based on data derived from measurements or observations of air, food, soil, water, and other sources.",4.05,4.12,4.0,4.0,4.84,4.63,3.36,4.36
77,15-1299.02,Geographic Information Systems Technologists and Technicians,NaN,"Assist scientists or related professionals in building, maintaining, modifying, or using geographic information systems (GIS) databases. May also perform some custom application development or provide user support.",3.69,3.94,3.69,3.69,4.88,4.82,4.17,4.55
78,25-1072.00,"Nursing Instructors and Teachers, Postsecondary",NaN,Demonstrate and teach patient care in classroom and clinical units to nursing students. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.,3.87,4.25,4.0,4.0,5.17,5.48,4.09,4.25
79,17-3024.01,Robotics Technicians,NaN,"Build, install, test, or maintain robotic equipment or related automated production systems.",3.73,4.0,3.62,3.62,4.08,4.24,3.68,4.32
80,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",NaN,"Prepare incoming and outgoing mail for distribution. Time-stamp, open, read, sort, and route incoming mail; and address, seal, stamp, fold, stuff, and affix postage to outgoing mail or packages. Duties may also include keeping necessary records and completed forms.",2.59,2.88,2.12,1.88,2.06,1.57,2.93,2.75
81,35-3011.00,Bartenders,NaN,"Mix and serve drinks to patrons, directly or through waitstaff.",2.97,2.88,3.0,2.62,2.23,2.58,3.58,3.41
82,43-3011.00,Bill and Account Collectors,NaN,"Locate and notify customers of delinquent accounts by mail, telephone, or personal visit to solicit payment. Duties include receiving payment and posting amount to customer's account, preparing statements to credit department if customer fails to respond, initiating repossession proceedings or service disconnection, and keeping records of collection and status of accounts.",2.89,3.5,2.75,2.88,2.52,2.88,3.5,4.22
83,47-4099.03,Weatherization Installers and Technicians,NaN,"Perform a variety of activities to weatherize homes and make them more energy efficient. Duties include repairing windows, insulating ducts, and performing heating, ventilating, and air-conditioning (HVAC) work. May perform energy audits and advise clients on energy conservation measures.",2.98,3.25,2.88,2.38,3.62,3.8,3.35,3.61
84,51-9195.03,"Stone Cutters and Carvers, Manufacturing",NaN,Cut or carve stone according to diagrams and patterns.,2.82,2.88,2.0,2.38,3.45,3.53,3.07,3.38
85,43-5052.00,Postal Service Mail Carriers,NaN,Sort and deliver mail for the United States Postal Service (USPS). Deliver mail on established route by vehicle or on foot. Includes postal service mail carriers employed by USPS contractors.,2.39,2.75,2.0,2.12,1.73,1.78,2.84,3.06
86,29-1222.00,"Physicians, Pathologists",NaN,"Diagnose diseases and conduct lab tests using organs, body tissues, and fluids. Includes medical examiners.",4.57,4.62,4.75,4.62,4.93,4.7,3.29,4.32
87,53-7021.00,Crane and Tower Operators,NaN,"Operate mechanical boom and cable or tower and cable equipment to lift and move materials, machines, or products in many directions.",2.55,3.0,2.38,2.25,3.42,3.5,2.98,3.33
88,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,NaN,"Directly supervise and coordinate work activities of cleaning personnel in hotels, hospitals, offices, and other establishments.",2.84,3.25,2.88,2.88,4.04,4.16,3.58,3.65
89,25-4013.00,Museum Technicians and Conservators,NaN,"Restore, maintain, or prepare objects in museum collections for storage, research, or exhibit. May work with specimens such as fossils, skeletal parts, or botanicals; or artifacts, textiles, or art. May identify and record objects or install and arrange them in exhibits. Includes book or document conservators.",3.46,3.38,3.12,3.0,3.17,3.75,4.03,4.16
90,41-2022.00,Parts Salespersons,NaN,Sell spare and replacement parts and equipment in repair shop or parts store.,2.97,3.12,3.0,3.0,3.62,3.86,3.07,3.59
91,25-1032.00,"Engineering Teachers, Postsecondary",NaN,"Teach courses pertaining to the application of physical laws and principles of engineering for the development of machines, materials, instruments, processes, and services. Includes teachers of subjects such as chemical, civil, electrical, industrial, mechanical, mineral, and petroleum engineering. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",4.04,4.12,4.12,3.38,4.96,5.41,4.35,4.87
92,25-1041.00,"Agricultural Sciences Teachers, Postsecondary",NaN,"Teach courses in the agricultural sciences. Includes teachers of agronomy, dairy sciences, fisheries management, horticultural sciences, poultry sciences, range management, and agricultural soil conservation. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",3.82,4.12,4.5,3.88,4.29,5.34,4.42,4.6
93,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",NaN,"Buy and sell securities or commodities in investment and trading firms, or provide financial services to businesses and individuals. May advise customers about stocks, bonds, mutual funds, commodities, and market conditions.",3.6,4.19,3.69,3.31,4.43,4.13,3.43,4.17
94,49-9061.00,Camera and Photographic Equipment Repairers,NaN,"Repair and adjust cameras and photographic equipment, including commercial video and motion picture camera equipment.",3.04,3.38,3.12,3.12,2.39,3.29,3.5,3.73
95,47-4031.00,Fence Erectors,NaN,"Erect and repair fences and fence gates, using hand and power tools.",2.43,2.88,1.88,2.5,2.44,3.19,3.47,3.76
96,33-2021.00,Fire Inspectors and Investigators,NaN,"Inspect buildings to detect fire hazards and enforce local ordinances and state laws, or investigate and gather facts to determine cause of fires and explosions.",3.81,4.06,3.62,3.5,4.67,4.39,3.56,4.1
97,53-7071.00,Gas Compressor and Gas Pumping Station Operators,NaN,"Operate steam-, gas-, electric motor-, or internal combustion-engine driven compressors. Transmit, compress, or recover gases, such as butane, nitrogen, hydrogen, and natural gas.",2.86,3.0,2.38,3.0,4.3,3.91,3.44,4.09
98,31-9099.01,Speech-Language Pathology Assistants,NaN,"Assist speech-language pathologists in the assessment and treatment of speech, language, voice, and fluency disorders. Implement speech and language programs or activities as planned and directed by speech-language pathologists. Monitor the use of alternative communication devices and systems.",3.02,3.5,2.75,3.12,3.86,4.11,4.44,4.39
99,13-1051.00,Cost Estimators,NaN,"Prepare cost estimates for product manufacturing, construction projects, or services to aid management in bidding on or determining price of product or service. May specialize according to particular service performed or type of product manufactured.",3.7,4.25,3.88,3.62,4.57,4.55,3.59,4.73
100,53-1041.00,Aircraft Cargo Handling Supervisors,NaN,"Supervise and coordinate the activities of ground crew in the loading, unloading, securing, and staging of aircraft cargo or baggage. May determine the quantity and orientation of cargo and compute aircraft center of gravity. May accompany aircraft as member of flight crew and monitor and handle cargo in flight, and assist and brief passengers on safety and emergency procedures. Includes loadmasters.",3.11,3.5,2.88,2.88,3.9,4.13,3.83,3.76
101,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",NaN,"Inspect, test, sort, sample, or weigh nonagricultural raw materials or processed, machined, fabricated, or assembled parts or products for defects, wear, and deviations from specifications. May use precision measuring instruments and complex test equipment.",2.77,3.25,2.38,2.75,4.12,3.51,3.58,4.25
102,27-3091.00,Interpreters and Translators,NaN,"Interpret oral or sign language, or translate written text from one language into another.",3.19,3.88,3.0,3.0,3.29,3.58,3.42,3.66
103,13-1074.00,Farm Labor Contractors,NaN,"Recruit and hire seasonal or temporary agricultural laborers. May transport, house, and provide meals for workers.",2.63,3.25,2.38,2.75,2.8,2.25,2.97,3.31
104,19-3033.00,Clinical and Counseling Psychologists,NaN,"Assess, diagnose, and treat mental and emotional disorders of individuals through observation, interview, and psychological tests. Help individuals with distress or maladjustment understand their problems through their knowledge of case history, interviews with patients, and theory. Provide individual or group counseling services to assist individuals in achieving more effective personal, social, educational, and vocational development and adjustment. May design behavior modification programs and consult with medical personnel regarding the best treatment for patients.",4.04,4.06,4.06,4.0,4.55,4.75,3.64,4.39
105,51-4192.00,"Layout Workers, Metal and Plastic",NaN,"Lay out reference points and dimensions on metal or plastic stock or workpieces, such as sheets, plates, tubes, structural shapes, castings, or machine parts, for further processing. Includes shipfitters.",2.96,3.12,2.62,2.88,3.81,3.95,3.64,3.77
106,51-7031.00,"Model Makers, Wood",NaN,Construct full-size and scale wooden precision models of products. Includes wood jig builders and loft workers.,3.0,3.12,2.62,3.0,3.93,4.37,3.99,3.9
107,13-1199.05,Sustainability Specialists,NaN,"Address organizational sustainability issues, such as waste stream management, green building practices, and green procurement plans.",3.61,4.0,3.38,3.62,4.6,5.0,4.0,4.23
108,39-5093.00,Shampooers,NaN,Shampoo and rinse customers' hair.,2.09,2.12,2.0,1.88,2.04,2.68,3.25,3.23
109,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers",NaN,"Install, service, adjust, or repair coin, vending, or amusement machines including video games, juke boxes, pinball machines, or slot machines.",2.68,2.88,2.12,2.75,2.54,2.55,3.01,3.33
